epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017580596,2023-03-28T17.33.00.596,2.710,0.009,-0.014,1.017
1680017580606,2023-03-28T17.33.00.606,2.720,0.011,-0.015,1.018
1680017580616,2023-03-28T17.33.00.616,2.730,0.012,-0.016,1.019
1680017580626,2023-03-28T17.33.00.626,2.740,0.011,-0.016,1.019
1680017580636,2023-03-28T17.33.00.636,2.750,0.012,-0.016,1.018
1680017580646,2023-03-28T17.33.00.646,2.760,0.012,-0.016,1.016
1680017580656,2023-03-28T17.33.00.656,2.770,0.012,-0.017,1.018
1680017580666,2023-03-28T17.33.00.666,2.780,0.009,-0.016,1.018
1680017580676,2023-03-28T17.33.00.676,2.790,0.008,-0.015,1.017
1680017580686,2023-03-28T17.33.00.686,2.800,0.012,-0.017,1.018
1680017580696,2023-03-28T17.33.00.696,2.810,0.012,-0.017,1.016
1680017580706,2023-03-28T17.33.00.706,2.820,0.011,-0.015,1.016
1680017580716,2023-03-28T17.33.00.716,2.830,0.012,-0.016,1.017
1680017580726,2023-03-28T17.33.00.726,2.840,0.011,-0.015,1.019
1680017580736,2023-03-28T17.33.00.736,2.850,0.010,-0.016,1.019
1680017580746,2023-03-28T17.33.00.746,2.860,0.011,-0.015,1.018
1680017580756,2023-03-28T17.33.00.756,2.870,0.011,-0.014,1.018
1680017580766,2023-03-28T17.33.00.766,2.880,0.011,-0.016,1.021
1680017580776,2023-03-28T17.33.00.776,2.890,0.011,-0.016,1.020
1680017580786,2023-03-28T17.33.00.786,2.900,0.011,-0.017,1.019
1680017580796,2023-03-28T17.33.00.796,2.910,0.011,-0.015,1.018
1680017580806,2023-03-28T17.33.00.806,2.920,0.011,-0.014,1.019
1680017580816,2023-03-28T17.33.00.816,2.930,0.010,-0.016,1.019
1680017580826,2023-03-28T17.33.00.826,2.940,0.010,-0.013,1.018
1680017580836,2023-03-28T17.33.00.836,2.950,0.009,-0.018,1.018
1680017580846,2023-03-28T17.33.00.846,2.960,0.012,-0.019,1.017
1680017580856,2023-03-28T17.33.00.856,2.970,0.012,-0.017,1.019
1680017580866,2023-03-28T17.33.00.866,2.980,0.011,-0.016,1.020
1680017580876,2023-03-28T17.33.00.876,2.990,0.011,-0.017,1.018
1680017580886,2023-03-28T17.33.00.886,3.000,0.010,-0.016,1.019
1680017580896,2023-03-28T17.33.00.896,3.010,0.011,-0.016,1.019
1680017580906,2023-03-28T17.33.00.906,3.020,0.012,-0.016,1.017
1680017580916,2023-03-28T17.33.00.916,3.030,0.011,-0.017,1.018
1680017580926,2023-03-28T17.33.00.926,3.040,0.013,-0.017,1.018
1680017580936,2023-03-28T17.33.00.936,3.050,0.012,-0.018,1.015
1680017580946,2023-03-28T17.33.00.946,3.060,0.011,-0.016,1.018
1680017580956,2023-03-28T17.33.00.956,3.070,0.011,-0.016,1.018
1680017580966,2023-03-28T17.33.00.966,3.080,0.010,-0.016,1.018
1680017580976,2023-03-28T17.33.00.976,3.090,0.011,-0.016,1.018
1680017580986,2023-03-28T17.33.00.986,3.100,0.012,-0.016,1.017
1680017580996,2023-03-28T17.33.00.996,3.110,0.011,-0.016,1.018
1680017581006,2023-03-28T17.33.01.006,3.120,0.011,-0.018,1.018
1680017581016,2023-03-28T17.33.01.016,3.130,0.010,-0.017,1.018
1680017581026,2023-03-28T17.33.01.026,3.140,0.010,-0.017,1.018
1680017581036,2023-03-28T17.33.01.036,3.150,0.011,-0.016,1.018
1680017581046,2023-03-28T17.33.01.046,3.160,0.011,-0.015,1.019
1680017581056,2023-03-28T17.33.01.056,3.170,0.011,-0.014,1.016
1680017581066,2023-03-28T17.33.01.066,3.180,0.012,-0.015,1.019
1680017581076,2023-03-28T17.33.01.076,3.190,0.011,-0.016,1.018
1680017581086,2023-03-28T17.33.01.086,3.200,0.010,-0.014,1.019
1680017581096,2023-03-28T17.33.01.096,3.210,0.011,-0.015,1.019
1680017581106,2023-03-28T17.33.01.106,3.220,0.010,-0.016,1.015
1680017581116,2023-03-28T17.33.01.116,3.230,0.011,-0.015,1.019
1680017581126,2023-03-28T17.33.01.126,3.240,0.011,-0.016,1.018
1680017581136,2023-03-28T17.33.01.136,3.250,0.011,-0.017,1.016
1680017581146,2023-03-28T17.33.01.146,3.260,0.010,-0.017,1.016
1680017581156,2023-03-28T17.33.01.156,3.270,0.010,-0.017,1.016
1680017581166,2023-03-28T17.33.01.166,3.280,0.011,-0.017,1.016
1680017581176,2023-03-28T17.33.01.176,3.290,0.012,-0.016,1.017
1680017581186,2023-03-28T17.33.01.186,3.300,0.011,-0.015,1.017
1680017581196,2023-03-28T17.33.01.196,3.310,0.010,-0.015,1.017
