epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017581634,2023-03-28T17.33.01.634,3.500,0.032,-0.016,1.020
1680017581644,2023-03-28T17.33.01.644,3.510,0.031,-0.017,1.021
1680017581654,2023-03-28T17.33.01.654,3.520,0.031,-0.017,1.023
1680017581664,2023-03-28T17.33.01.664,3.530,0.032,-0.018,1.022
1680017581674,2023-03-28T17.33.01.674,3.540,0.033,-0.018,1.021
1680017581684,2023-03-28T17.33.01.684,3.550,0.031,-0.017,1.021
1680017581694,2023-03-28T17.33.01.694,3.560,0.030,-0.018,1.022
1680017581704,2023-03-28T17.33.01.704,3.570,0.031,-0.017,1.021
1680017581714,2023-03-28T17.33.01.714,3.580,0.031,-0.016,1.022
1680017581724,2023-03-28T17.33.01.724,3.590,0.031,-0.016,1.021
1680017581734,2023-03-28T17.33.01.734,3.600,0.031,-0.016,1.021
1680017581744,2023-03-28T17.33.01.744,3.610,0.029,-0.016,1.021
1680017581754,2023-03-28T17.33.01.754,3.620,0.033,-0.016,1.021
